HarrisQBRank,1369,1
HarrisQBRank,997,2
HarrisQBRank,1178,3
HarrisQBRank,1096,4
HarrisQBRank,2542,5
HarrisQBRank,1906,6
HarrisQBRank,90,7
HarrisQBRank,641,8
HarrisQBRank,1818,9
HarrisQBRank,1452,10
HarrisQBRank,2360,11
HarrisQBRank,362,12
HarrisQBRank,1551,13
HarrisQBRank,2270,14
HarrisQBRank,2452,15
HarrisQBRank,1724,16
HarrisQBRank,2640,17
HarrisQBRank,758,18
HarrisQBRank,459,19
HarrisQBRank,279,20
HarrisQBRank,197,21
HarrisQBRank,906,22
HarrisQBRank,2180,23
HarrisQBRank,5,24
HarrisQBRank,2093,25
HarrisQBRank,542,26
HarrisQBRank,1269,27
HarrisQBRank,2730,28
HarrisQBRank,1996,29
HarrisQBRank,816,30
HarrisQBRank,1638,31
HarrisQBRank,2823,32
HarrisQBRank,1643,33
HarrisQBRank,2839,34
HarrisQBRank,202,35
HarrisQBRank,905,36
HarrisQBRank,2086,37
HarrisQBRank,2763,38
HarrisQBRank,1926,39
HarrisQBRank,1838,40
HarrisQBRank,2387,41
HarrisQBRank,1463,42
HarrisQBRank,1618,43
HarrisQBRank,1019,44
HarrisQBRank,44,45
HarrisQBRank,2295,46
HarrisQBRank,113,47
HarrisQBRank,1205,48
HarrisQBRank,467,49
HarrisQBRank,390,50
